track_uri,track,artist,artist_popularity,followers,artist_genre,track_popularity,album,playlist,danceability,valence,energy,tempo,loudness,speechiness,instrumentalness,liveness,acousticness,key
1uCMyqf4cgJ3LIu01SgXb5,ANGELS,Chase Atlantic,80,4269968,['pop'],56,PHASES,r&b,0.608,0.356,0.711,115.998,-6.019,0.0462,1.55E-05,0.102,0.062,5
10UlPBWHkekb2UiDnwcyeD,EMPTY,Chase Atlantic,80,4269968,['pop'],60,BEAUTY IN DEATH,r&b,0.693,0.486,0.678,147.99,-5.639,0.0583,0,0.0927,0.165,8
7zFXmv6vqI4qOt4yGf3jYZ,Get You (feat. Kali Uchis),Daniel Caesar,78,3685623,"['canadian contemporary r&b', 'pop', 'r&b']",81,Freudian,r&b,0.658,0.358,0.294,74.038,-8.533,0.0321,5.20E-05,0.0749,0.422,4
1RMJOxR6GRPsBHL8qeC2ux,Best Part (feat. H.E.R.),Daniel Caesar,78,3685623,"['canadian contemporary r&b', 'pop', 'r&b']",81,Freudian,r&b,0.524,0.436,0.364,75.24,-10.209,0.0367,0,0.1,0.808,7
1boXOL0ua7N2iCOUVI1p9F,Japanese Denim,Daniel Caesar,78,3685623,"['canadian contemporary r&b', 'pop', 'r&b']",78,Get You - Single,r&b,0.707,0.345,0.238,124.156,-8.818,0.0379,2.42E-06,0.0842,0.0905,3
5Ti3fqGTfjUsSdylFNy0Ng,Tomboy,Destiny Rogers,55,135104,[],70,Tomboy,r&b,0.644,0.459,0.645,77.998,-5.437,0.0557,0.00512,0.116,0.423,0
7ptFEMrSvGhGhAnHN9GUqq,chances,thuy,64,148624,"['chill r&b', 'indie r&b', 'pop', 'r&b']",44,chances,r&b,0.748,0.605,0.472,141.93,-9.15,0.0557,0,0.0525,0.0822,3
3A7Etq2wGE9cYqLIma97Tt,Aphrodite,RINI,63,607865,"['australian r&b', 'bedroom soul', 'chill r&b', 'pop']",62,After the Sun,r&b,0.717,0.262,0.298,116.039,-9.237,0.0394,0.00293,0.0997,0.555,6
3LRbalLzZcuvSR6jVnqclh,Meet Me in Amsterdam,RINI,63,607865,"['australian r&b', 'bedroom soul', 'chill r&b', 'pop']",64,After the Sun,r&b,0.62,0.169,0.265,106.022,-10.409,0.0345,1.02E-05,0.114,0.281,9
2ZwIO3ufWLFYxtEoam9ydu,My Favourite Clothes,RINI,63,607865,"['australian r&b', 'bedroom soul', 'chill r&b', 'pop']",69,My Favourite Clothes,r&b,0.746,0.291,0.339,119.924,-9.041,0.144,1.36E-05,0.0838,0.482,2
3fEIHWNPl6XS6G5HuQ6jpc,Out of the Blue,RINI,63,607865,"['australian r&b', 'bedroom soul', 'chill r&b', 'pop']",53,Out of the Blue,r&b,0.596,0.227,0.4,79.018,-6.245,0.0284,0.000246,0.29,0.566,11
3NzUloRHNBsXGtZFmoryu7,Substitute,RINI,63,607865,"['australian r&b', 'bedroom soul', 'chill r&b', 'pop']",37,Rini,r&b,0.833,0.603,0.555,110.024,-6.393,0.044,0.0432,0.118,0.292,3
2RDskWizsP1lseWF6m2ooe,For the Last Time (feat. Snaggle Owky),RINI,63,607865,"['australian r&b', 'bedroom soul', 'chill r&b', 'pop']",37,For the Last Time (feat. Snaggle Owky),r&b,0.821,0.479,0.387,111.988,-10.859,0.109,0,0.146,0.296,7
18uwL0vNUanqZH0ro2QcOP,comethru,Jeremy Zucker,74,2091131,"['electropop', 'pop']",79,"summer,",r&b,0.795,0.608,0.178,93.982,-11.991,0.0574,0,0.623,0.607,0
0rbKrBvZUYY9GN9l057BuY,"always, i'll care",Jeremy Zucker,74,2091131,"['electropop', 'pop']",73,love is not dying,r&b,0.732,0.677,0.221,105.165,-12.623,0.056,2.62E-05,0.11,0.897,6
4DAcGCqgdTk02tDMx92sfx,Sociopath,Jeremy Zucker,74,2091131,"['electropop', 'pop']",55,CRUSHER,r&b,0.596,0.306,0.467,140.031,-9.991,0.0337,0,0.255,0.482,7
47isJpIIO8m7BJEhiFhnaf,double take,dhruv,70,403434,"['chill r&b', 'nyc pop', 'pop']",75,double take,r&b,0.456,0.209,0.437,108.678,-11.156,0.0867,0,0.218,0.839,8
19nu3H3vjeZ505i450lz8R,airplane thoughts,dhruv,70,403434,"['chill r&b', 'nyc pop', 'pop']",48,airplane thoughts,r&b,0.677,0.273,0.454,80.045,-8.555,0.0673,8.55E-05,0.274,0.83,2
1eOunIE3nhAH5f0jIZ7eMB,vulnerable,dhruv,70,403434,"['chill r&b', 'nyc pop', 'pop']",0,vulnerable,r&b,0.7,0.311,0.491,115.873,-10.706,0.0506,9.43E-05,0.35,0.479,8
